2022-08-31 22:26:24.740 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IAccountMapper' and 'com.yyok.share.admin.system.service.mapper.IAccountMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.740 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IAccountsRolesMapper' and 'com.yyok.share.admin.system.service.mapper.IAccountsRolesMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.740 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IDictDetailMapper' and 'com.yyok.share.admin.system.service.mapper.IDictDetailMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.740 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IDictMapper' and 'com.yyok.share.admin.system.service.mapper.IDictMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.740 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IResourceMapper' and 'com.yyok.share.admin.system.service.mapper.IResourceMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.740 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRoleMapper' and 'com.yyok.share.admin.system.service.mapper.IRoleMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.740 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesAbacMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesAbacMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.741 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesAclMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesAclMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.741 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesDeptsMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesDeptsMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.741 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IRolesResourcesMapper' and 'com.yyok.share.admin.system.service.mapper.IRolesResourcesMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.741 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'ICAIdentityContainerMapper' and 'com.yyok.share.kpi.service.mapper.ICAIdentityContainerMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.741 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'ICertificateAuthorityMapper' and 'com.yyok.share.kpi.service.mapper.ICertificateAuthorityMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.741 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IPKIReMapper' and 'com.yyok.share.kpi.service.mapper.IPKIReMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 22:26:24.741 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.yyok.**.**.service.mapper]' package. Please check your configuration.
2022-08-31 22:26:27.108 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.generator.domain.GenConfig".
2022-08-31 22:26:27.114 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.generator.domain.GenConfig ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:28.174 [main] WARN  org.dozer.config.GlobalSettings - Dozer configuration file not found: dozer.properties.  Using defaults for all Dozer global properties.
2022-08-31 22:26:28.217 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.Dept".
2022-08-31 22:26:28.217 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.Dept ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:28.257 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.Job".
2022-08-31 22:26:28.257 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.Job ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:28.288 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.RolesDepts".
2022-08-31 22:26:28.289 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.RolesDepts ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:28.375 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.User".
2022-08-31 22:26:28.376 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.User ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:28.401 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.Account".
2022-08-31 22:26:28.402 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.Account ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:28.424 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.AccountAvatar".
2022-08-31 22:26:28.424 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.AccountAvatar ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:28.482 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.Role".
2022-08-31 22:26:28.482 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.Role ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:29.243 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.Resource".
2022-08-31 22:26:29.243 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.Resource ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:29.268 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.RoleResource".
2022-08-31 22:26:29.268 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.RoleResource ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 22:26:29.524 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.DictInfo".
